transaction_id,customer_id,transaction_date,sender_id,receiver_id,transaction_amount,avg_amount_30d,amount_vs_avg_ratio,transaction_velocity_1h,transaction_velocity_24h,merchant_name,merchant_risk_score,customer_age_days,is_international,is_new_device,is_new_merchant,hour_of_day,day_of_week,device_type,auth_method,device_risk_score,ip_risk_score,distance_from_home_km,nb_cards_last_30d,failed_auth_last_24h,chargeback_rate_6m,country_origin,currency,fraud_type,is_fraud
TXN000010,CUST4581,2023-01-01 00:06:40,4521,1060,39.58,36.12,1.0955,1,6,Uber,0.296,520,0,0,0,11,4,mobile_ios,3DS,0.0431,0.2745,14.9,3,0,0.1586,CH,EUR,none,0
TXN000011,CUST8554,2023-01-01 00:07:20,2277,1459,492.87,576.01,0.8556,1,3,Binance,0.703,1622,0,1,0,7,0,desktop_windows,3DS,0.2277,0.1783,58.8,1,0,0.0686,CH,EUR,none,0
TXN000012,CUST8280,2023-01-01 00:08:00,2645,4620,47.88,56.27,0.8507,1,5,PayPal,0.41,353,0,0,0,13,6,desktop_windows,3DS,0.076,0.2518,13.2,1,2,0.0084,US,EUR,none,0
TXN000013,CUST2636,2023-01-01 00:08:40,4074,3385,43.22,46.73,0.9247,1,2,Binance,0.703,585,0,0,0,7,5,desktop_windows,3DS,0.4559,0.227,2.7,1,0,0.007,DE,EUR,none,0
TXN000014,CUST4696,2023-01-01 00:09:20,7077,430,18.31,15.15,1.2078,1,3,PayPal,0.41,273,0,0,0,8,6,desktop_windows,3DS,0.0631,0.1797,0.4,2,0,0.0515,NL,EUR,none,0
TXN000015,CUST1698,2023-01-01 00:10:00,878,1241,75.23,77.82,0.9666,3,6,Netflix,0.188,289,0,0,1,19,5,mobile_android,3DS,0.028,0.0693,6.4,1,0,0.101,CH,EUR,none,0
TXN000016,CUST5737,2023-01-01 00:10:40,786,3961,47.02,48.49,0.9695,1,3,Casino GD,0.111,1412,0,0,0,11,3,desktop_windows,biometric,0.1421,0.0543,0.7,3,0,0.0458,DE,EUR,none,0
TXN000017,CUST1854,2023-01-01 00:11:20,2077,3575,114.46,132.19,0.8658,1,6,Leclerc,0.336,615,0,0,0,7,0,mobile_ios,3DS,0.013,0.0579,4.2,1,0,0.1333,CH,GBP,none,0
TXN000018,CUST9164,2023-01-01 00:12:00,6279,20,2.56,2.32,1.0987,0,6,Netflix,0.188,179,0,0,0,7,6,desktop_windows,3DS,0.133,0.0112,29.4,2,2,0.0386,NL,EUR,none,0
TXN000019,CUST6855,2023-01-01 00:12:40,5672,2672,58.23,52.39,1.1113,1,5,Carrefour,0.333,71,0,0,1,12,4,desktop_windows,3DS,0.129,0.1898,9.7,1,0,0.0203,IT,EUR,none,0
TXN000020,CUST8392,2023-01-01 00:13:20,101,715,580.77,500.98,1.1592,0,0,MoneyGram,0.783,99,0,0,0,20,6,mobile_android,PIN,0.1705,0.1222,9.0,1,2,0.117,BE,GBP,none,0
TXN000021,CUST7528,2023-01-01 00:14:00,376,4244,243.17,221.99,1.0954,1,4,SNCF,0.158,30,0,0,0,19,4,mobile_ios,3DS,0.4016,0.0478,42.9,3,0,0.051,CH,EUR,none,0
TXN000022,CUST6249,2023-01-01 00:14:40,646,609,103.59,122.1,0.8483,3,7,Fnac,0.154,54,0,0,0,10,4,desktop_windows,PIN,0.0168,0.4938,13.5,1,1,0.0724,CH,EUR,none,0
TXN000023,CUST6172,2023-01-01 00:15:20,3383,3289,18.87,18.12,1.0408,0,3,Apple,0.094,38,0,0,0,7,1,desktop_mac,biometric,0.1272,0.0262,2.7,2,0,0.0486,BE,GBP,none,0
TXN000024,CUST2707,2023-01-01 00:16:00,3512,1048,786.31,678.79,1.1584,1,4,IKEA,0.145,128,0,0,0,9,2,mobile_android,3DS,0.2852,0.0898,2.3,3,0,0.0053,BE,USD,none,0
TXN000025,CUST6791,2023-01-01 00:16:40,5961,2857,7.6,6.88,1.103,3,4,Western Union,0.591,629,0,0,0,16,1,desktop_windows,3DS,0.0979,0.0897,0.7,1,0,0.0739,GB,EUR,none,0
TXN000026,CUST6535,2023-01-01 00:17:20,2741,417,21.0,19.11,1.0983,2,3,Netflix,0.188,206,0,0,0,16,0,mobile_android,3DS,0.3597,0.0569,4.0,1,0,0.0423,DE,GBP,none,0
TXN000027,CUST5931,2023-01-01 00:18:00,3529,4514,15.63,12.81,1.2192,4,4,H&M,0.202,973,0,0,0,21,6,desktop_mac,signature,0.0312,0.1142,11.1,2,0,0.0764,GB,USD,none,0
TXN000028,CUST4510,2023-01-01 00:18:40,6344,1743,73.62,62.41,1.1794,0,3,Auchan,0.097,442,0,0,0,19,5,mobile_android,no_auth,0.1903,0.0282,0.8,2,0,0.0197,PT,EUR,none,0
TXN000029,CUST1202,2023-01-01 00:19:20,4817,2904,83.49,72.81,1.1465,1,4,Boulanger,0.288,161,0,0,0,12,6,tablet,3DS,0.0453,0.0896,15.8,1,0,0.0456,NL,GBP,none,0
TXN000030,CUST5218,2023-01-01 00:20:00,5720,3919,15.19,16.51,0.9195,1,7,Zara,0.158,1331,0,0,1,18,3,desktop_mac,PIN,0.0164,0.1845,12.2,2,0,0.0302,GB,GBP,none,0
TXN000031,CUST9958,2023-01-01 00:20:40,2024,2821,24.41,23.45,1.0405,1,8,Binance,0.703,474,0,0,0,10,6,desktop_windows,PIN,0.0299,0.0069,20.1,1,0,0.2232,PT,EUR,none,0
TXN000032,CUST5389,2023-01-01 00:21:20,7293,3359,239.49,252.73,0.9476,0,3,Leclerc,0.336,86,0,0,0,13,6,mobile_ios,3DS,0.0963,0.0735,0.1,2,0,0.0105,CH,USD,none,0
TXN000033,CUST3327,2023-01-01 00:22:00,4567,663,6.7,5.5,1.216,5,7,Booking,0.056,180,0,0,0,8,5,desktop_mac,3DS,0.0903,0.2159,1.0,1,0,0.0073,US,EUR,none,0
TXN000034,CUST9004,2023-01-01 00:22:40,1953,1791,44.49,44.72,0.9946,1,2,Spotify,0.39,2286,0,0,0,13,6,mobile_ios,biometric,0.1181,0.167,5.0,2,0,0.0541,BE,EUR,none,0
TXN000035,CUST3931,2023-01-01 00:23:20,1046,4619,37.07,31.03,1.1943,0,5,Fnac,0.154,282,0,0,1,7,4,desktop_mac,3DS,0.2991,0.1985,21.3,1,0,0.046,CH,EUR,none,0
TXN000036,CUST8777,2023-01-01 00:24:00,2098,150,126.03,7.81,3.4178,2,8,Zara,0.158,461,0,1,0,12,2,mobile_android,signature,0.0662,0.1151,12.3,1,0,0.3491,ES,EUR,insider,1
TXN000037,CUST1197,2023-01-01 00:24:40,3823,995,6.2,5.99,1.0333,1,3,Steam,0.394,51,0,1,0,19,1,mobile_android,PIN,0.1958,0.145,29.1,3,2,0.0985,GB,EUR,none,0
TXN000038,CUST8125,2023-01-01 00:25:20,4822,539,28.34,30.04,0.9431,1,4,Uber,0.296,250,1,0,0,16,6,tablet,3DS,0.2628,0.0721,18.3,1,2,0.0072,GB,EUR,none,0
TXN000039,CUST2930,2023-01-01 00:26:00,3867,1025,87.37,74.7,1.1695,1,3,Coinbase,0.901,1360,0,0,0,8,1,mobile_android,biometric,0.0175,0.0041,6.9,1,0,0.0687,CH,EUR,none,0
TXN000040,CUST7287,2023-01-01 00:26:40,3632,447,51.63,45.75,1.1283,0,5,Binance,0.703,70,0,0,0,9,1,desktop_mac,PIN,0.0288,0.0678,17.6,2,2,0.0944,FR,EUR,none,0
TXN000041,CUST9800,2023-01-01 00:27:20,6210,1669,26.61,30.89,0.8612,1,7,IKEA,0.145,135,0,0,0,11,2,desktop_windows,PIN,0.1162,0.1301,2.7,2,0,0.0746,CN,CHF,none,0
TXN000042,CUST5282,2023-01-01 00:28:00,2015,4432,88.94,86.54,1.0276,2,6,Booking,0.056,282,0,1,0,18,5,mobile_android,PIN,0.1661,0.0245,27.8,1,1,0.0379,ES,GBP,none,0
TXN000043,CUST3511,2023-01-01 00:28:40,7298,3550,39.55,40.37,0.9794,1,7,Casino GD,0.111,95,0,0,0,13,5,tablet,3DS,0.066,0.0044,67.4,1,0,0.0539,CN,USD,none,0
TXN000044,CUST1659,2023-01-01 00:29:20,2350,1921,134.51,116.97,1.1499,1,3,Auchan,0.097,379,0,0,0,18,4,desktop_windows,3DS,0.3041,0.0487,47.8,2,0,0.0873,GB,EUR,none,0
TXN000045,CUST3811,2023-01-01 00:30:00,3399,1343,149.89,179.45,0.8352,4,9,Apple,0.094,540,0,0,0,18,2,desktop_mac,3DS,0.0245,0.1731,13.2,1,0,0.0009,CN,EUR,none,0
TXN000046,CUST8098,2023-01-01 00:30:40,384,3076,11.83,11.27,1.0488,1,5,Western Union,0.591,1149,0,0,0,11,4,tablet,3DS,0.0236,0.0339,1.2,1,0,0.0378,ES,USD,none,0
TXN000047,CUST7546,2023-01-01 00:31:20,7947,563,96.04,110.96,0.8655,2,6,Amazon,0.251,38,0,0,0,21,2,desktop_windows,3DS,0.1596,0.0995,13.0,3,0,0.0103,PL,EUR,none,0
TXN000048,CUST2986,2023-01-01 00:32:00,5871,3172,4.14,4.9,0.8432,0,4,Netflix,0.188,90,0,0,0,21,0,mobile_android,3DS,0.235,0.0682,1.6,1,0,0.0264,ES,EUR,none,0
TXN000049,CUST9338,2023-01-01 00:32:40,2586,3454,309.37,249.51,1.2399,0,6,SNCF,0.158,856,0,0,0,8,1,mobile_ios,signature,0.2675,0.1597,8.0,1,0,0.0434,BE,EUR,none,0
TXN000050,CUST3911,2023-01-01 00:33:20,703,82,114.28,97.11,1.1767,0,5,Apple,0.094,122,0,0,1,17,2,desktop_mac,3DS,0.0147,0.2352,13.2,2,0,0.0405,NL,USD,none,0
TXN000051,CUST2734,2023-01-01 00:34:00,2097,1747,6.19,7.3,0.8468,2,6,Zara,0.158,121,0,0,0,9,3,tablet,signature,0.3991,0.0504,52.7,3,0,0.0104,GB,GBP,none,0
TXN000052,CUST2843,2023-01-01 00:34:40,319,356,52.83,63.36,0.8337,3,9,AliExpress,0.937,705,0,0,0,10,3,tablet,3DS,0.3457,0.0729,17.4,2,0,0.0459,FR,EUR,none,0
TXN000053,CUST9680,2023-01-01 00:35:20,21,1865,601.73,636.16,0.9459,0,5,Apple,0.094,528,0,0,0,7,3,mobile_ios,3DS,0.1423,0.2275,30.5,1,2,0.0455,IT,EUR,none,0
TXN000054,CUST3976,2023-01-01 00:36:00,3505,2330,134.21,151.86,0.8837,1,4,Steam,0.394,368,0,0,0,12,1,desktop_windows,3DS,0.1083,0.0054,13.6,1,0,0.1655,ES,EUR,none,0
TXN000055,CUST2959,2023-01-01 00:36:40,6735,178,844.99,3.56,8.933,11,27,MoneyGram,0.783,80,0,0,1,18,0,mobile_ios,PIN,0.2253,0.2907,93.7,5,0,0.7401,FR,USD,smurfing,1
TXN000056,CUST6759,2023-01-01 00:37:20,592,3292,7.88,6.86,1.147,0,6,Zara,0.158,394,0,0,0,19,5,desktop_windows,PIN,0.025,0.1131,2.4,2,1,0.026,IT,EUR,none,0
TXN000057,CUST7694,2023-01-01 00:38:00,4105,4141,78.64,66.17,1.1883,2,7,Leclerc,0.336,300,0,0,0,9,1,desktop_windows,3DS,0.0569,0.4082,3.8,1,0,0.0145,IT,CHF,none,0
TXN000058,CUST3385,2023-01-01 00:38:40,2197,2771,47.75,55.54,0.8596,2,5,SNCF,0.158,150,0,1,0,10,5,desktop_mac,biometric,0.2273,0.0915,39.0,2,2,0.0239,ES,GBP,none,0
TXN000059,CUST5736,2023-01-01 00:39:20,1461,4201,14.62,13.66,1.0695,1,6,Amazon,0.251,770,0,0,0,19,0,tablet,3DS,0.1411,0.0164,5.4,3,0,0.0043,US,GBP,none,0
TXN000060,CUST2802,2023-01-01 00:40:00,2547,2537,1573.51,1473.46,1.0679,4,4,Deliveroo,0.16,573,0,0,0,13,2,desktop_mac,3DS,0.0371,0.0109,11.6,1,0,0.0965,CH,USD,none,0
TXN000061,CUST9155,2023-01-01 00:40:40,1912,874,12.78,10.58,1.2068,1,5,Netflix,0.188,57,1,0,0,18,1,mobile_ios,3DS,0.1519,0.0735,6.4,1,0,0.0228,PL,CHF,none,0
TXN000062,CUST9120,2023-01-01 00:41:20,3127,248,32.91,36.63,0.8982,2,7,Leclerc,0.336,433,0,1,0,15,5,tablet,biometric,0.2191,0.034,4.3,1,2,0.0082,NL,GBP,none,0
TXN000063,CUST7616,2023-01-01 00:42:00,4393,3341,17.5,17.91,0.9766,0,4,MoneyGram,0.783,33,0,0,0,9,1,mobile_ios,3DS,0.0674,0.1201,0.1,2,2,0.0356,CN,EUR,none,0
TXN000064,CUST6534,2023-01-01 00:42:40,2566,568,74.22,74.29,0.9989,5,3,Decathlon,0.393,167,0,0,0,13,1,desktop_windows,3DS,0.04,0.0744,13.4,1,1,0.1134,US,EUR,none,0
TXN000065,CUST5061,2023-01-01 00:43:20,6913,4281,7.51,6.42,1.168,0,6,Binance,0.703,139,0,0,0,16,6,tablet,biometric,0.0633,0.1962,13.4,1,0,0.0051,BE,EUR,none,0
TXN000066,CUST1262,2023-01-01 00:44:00,6848,1352,5.53,4.99,1.106,0,5,Casino GD,0.111,80,0,0,0,13,5,tablet,biometric,0.0727,0.003,6.5,1,0,0.023,NL,EUR,none,0
TXN000067,CUST7287,2023-01-01 00:44:40,7045,1692,181.45,183.94,0.9864,1,3,Steam,0.394,621,0,0,0,9,1,desktop_windows,signature,0.0598,0.0769,3.5,2,1,0.0044,GB,EUR,none,0
TXN000068,CUST9815,2023-01-01 00:45:20,5349,3938,52.25,55.91,0.9344,1,2,PayPal,0.41,150,0,0,0,15,4,desktop_windows,biometric,0.0244,0.0303,7.9,2,0,0.1197,BE,USD,none,0
TXN000069,CUST3049,2023-01-01 00:46:00,1271,4194,10.08,8.57,1.1748,1,7,Boulanger,0.288,2027,0,0,0,10,5,desktop_windows,signature,0.1063,0.1475,16.6,1,0,0.0241,IT,EUR,none,0
TXN000070,CUST6423,2023-01-01 00:46:40,7167,1305,14.39,16.99,0.8465,1,3,Steam,0.394,1034,0,0,0,11,1,desktop_windows,biometric,0.0663,0.0696,1.6,1,0,0.0821,IT,EUR,none,0
TXN000071,CUST5548,2023-01-01 00:47:20,282,1916,487.31,394.46,1.2354,4,5,H&M,0.202,78,0,0,0,10,6,mobile_android,PIN,0.0377,0.0346,11.2,2,0,0.0729,CH,USD,none,0
TXN000072,CUST4108,2023-01-01 00:48:00,2817,32,55.1,18.33,38.2,8,18,Coinbase,0.901,71,0,1,0,3,5,tablet,no_auth,0.7061,0.4891,212.2,2,1,0.7241,NG,EUR,CNP_ecommerce,1
TXN000073,CUST8158,2023-01-01 00:48:40,4353,4843,754.93,902.27,0.8367,2,2,Uber,0.296,145,0,0,0,9,4,mobile_ios,3DS,0.1382,0.0257,7.9,1,0,0.0307,CN,EUR,none,0
TXN000074,CUST8400,2023-01-01 00:49:20,5213,4252,142.13,140.86,1.0089,3,6,Netflix,0.188,628,0,1,0,10,2,mobile_android,PIN,0.0953,0.1294,5.1,2,1,0.0235,BE,USD,none,0
TXN000075,CUST4170,2023-01-01 00:50:00,6358,4433,82.08,94.22,0.8711,2,5,Uber,0.296,27,0,0,0,8,1,desktop_mac,3DS,0.0343,0.0335,41.1,2,2,0.022,ES,USD,none,0
TXN000076,CUST3255,2023-01-01 00:50:40,1830,2160,12.85,12.95,0.9915,0,9,AliExpress,0.937,1,0,0,0,13,2,desktop_windows,PIN,0.1473,0.005,0.1,1,0,0.03,CN,EUR,none,0
TXN000077,CUST2154,2023-01-01 00:51:20,553,3713,120.79,100.77,1.1986,1,7,Spotify,0.39,265,0,0,0,10,4,tablet,3DS,0.2105,0.0662,15.2,1,0,0.0191,NL,USD,none,0
TXN000078,CUST5499,2023-01-01 00:52:00,3740,4060,13.07,13.09,0.9977,1,3,Fnac,0.154,22,0,0,0,16,1,tablet,3DS,0.0917,0.0642,8.9,1,0,0.0643,US,EUR,none,0
TXN000079,CUST7295,2023-01-01 00:52:40,6277,2450,40.53,41.69,0.9719,1,3,Coinbase,0.901,60,0,0,0,14,4,desktop_windows,no_auth,0.1962,0.205,17.8,2,0,0.0255,DE,EUR,none,0
TXN000080,CUST7197,2023-01-01 00:53:20,2965,4482,40.27,46.24,0.8707,0,2,Booking,0.056,477,1,0,0,11,0,desktop_mac,PIN,0.3679,0.0066,13.5,3,0,0.0368,NL,EUR,none,0
TXN000081,CUST2648,2023-01-01 00:54:00,5617,4423,2.11,1.92,1.0933,2,5,Decathlon,0.393,767,0,0,0,21,4,mobile_ios,PIN,0.0932,0.3706,7.3,2,0,0.0224,CH,USD,none,0
TXN000082,CUST6539,2023-01-01 00:54:40,7999,1773,51.26,57.04,0.8985,2,5,Fnac,0.154,461,0,0,0,21,1,tablet,3DS,0.2326,0.0204,3.8,2,0,0.0495,CH,EUR,none,0
TXN000083,CUST5199,2023-01-01 00:55:20,6230,4155,194.11,191.71,1.0125,0,3,Amazon,0.251,62,0,0,0,17,0,desktop_windows,PIN,0.0516,0.021,1.8,2,0,0.0794,ES,EUR,none,0
TXN000084,CUST9445,2023-01-01 00:56:00,7764,2994,9.57,8.19,1.1671,2,5,Netflix,0.188,27,0,0,0,12,4,mobile_android,3DS,0.017,0.067,15.2,1,0,0.0546,GB,EUR,none,0
TXN000085,CUST3557,2023-01-01 00:56:40,3468,274,27.41,23.27,1.1774,4,8,Steam,0.394,76,0,0,0,21,5,desktop_mac,3DS,0.0818,0.0929,8.2,1,1,0.0051,US,EUR,none,0
TXN000086,CUST6592,2023-01-01 00:57:20,7046,1287,10.63,9.85,1.0781,2,4,Decathlon,0.393,43,0,0,0,15,3,desktop_mac,3DS,0.3775,0.3275,5.7,1,2,0.0254,NL,EUR,none,0
TXN000087,CUST1098,2023-01-01 00:58:00,2925,55,538.19,142.78,13.4289,7,23,AliExpress,0.937,32,0,1,1,4,3,desktop_windows,PIN,0.6211,0.827,1313.3,2,4,0.3165,RU,USD,CNP_ecommerce,1
TXN000088,CUST3200,2023-01-01 00:58:40,2808,4478,61.0,72.01,0.847,0,4,Leclerc,0.336,46,0,0,0,15,2,desktop_mac,3DS,0.3577,0.0648,24.1,3,2,0.0086,NL,EUR,none,0
TXN000089,CUST3961,2023-01-01 00:59:20,2920,1732,2.91,2.41,1.2025,0,3,IKEA,0.145,1139,1,0,0,11,4,mobile_ios,signature,0.0852,0.0078,13.6,2,0,0.0495,GB,USD,none,0
TXN000090,CUST5973,2023-01-01 01:00:00,3005,3729,3.6,4.16,0.8633,6,4,Western Union,0.591,155,0,0,0,8,1,desktop_windows,3DS,0.12,0.1388,17.4,2,0,0.0259,BE,EUR,none,0
TXN000091,CUST5433,2023-01-01 01:00:40,1571,150,215.66,96.59,31.4932,4,18,Amazon,0.251,20,1,1,1,1,5,mobile_android,no_auth,0.9229,0.8912,91.3,5,5,0.7418,CN,CHF,CNP_ecommerce,1
TXN000092,CUST3869,2023-01-01 01:01:20,2297,3431,852.56,841.67,1.0129,0,7,IKEA,0.145,582,0,0,0,21,4,desktop_mac,PIN,0.0579,0.0341,22.4,1,0,0.0032,BE,USD,none,0
TXN000093,CUST1956,2023-01-01 01:02:00,5963,2061,12.62,13.51,0.9334,2,7,Binance,0.703,240,0,0,0,21,2,tablet,3DS,0.1388,0.0348,12.7,1,0,0.0343,NL,EUR,none,0
TXN000094,CUST9352,2023-01-01 01:02:40,5757,1125,147.6,147.7,0.9993,0,5,Steam,0.394,178,1,0,0,13,6,desktop_windows,3DS,0.0548,0.0926,3.2,1,1,0.0278,IT,GBP,none,0
TXN000095,CUST6699,2023-01-01 01:03:20,6708,1476,3.69,3.98,0.9248,2,3,H&M,0.202,659,0,0,0,13,0,desktop_mac,no_auth,0.0016,0.2261,18.0,2,1,0.099,PL,EUR,none,0
TXN000096,CUST7944,2023-01-01 01:04:00,2337,4825,10.68,12.58,0.8483,0,1,Amazon,0.251,983,0,1,0,21,4,desktop_mac,signature,0.2045,0.1134,2.0,3,1,0.0354,IT,EUR,none,0
TXN000097,CUST5493,2023-01-01 01:04:40,2457,4575,31.18,33.94,0.9184,0,3,Leclerc,0.336,923,0,0,0,12,5,tablet,PIN,0.1978,0.0367,26.3,1,0,0.1042,BE,EUR,none,0
TXN000098,CUST5911,2023-01-01 01:05:20,7950,4239,136.97,142.47,0.9613,0,5,AliExpress,0.937,597,0,0,0,13,1,mobile_android,PIN,0.0062,0.0187,3.0,1,2,0.1477,GB,EUR,none,0
TXN000099,CUST4987,2023-01-01 01:06:00,6877,4124,27.47,32.64,0.8413,0,5,Carrefour,0.333,201,0,0,1,9,6,desktop_windows,no_auth,0.0579,0.094,4.7,1,2,0.0197,US,EUR,none,0
TXN000100,CUST7015,2023-01-01 01:06:40,4405,1227,37.6,44.05,0.8534,1,5,Casino GD,0.111,85,0,0,0,20,4,tablet,PIN,0.0751,0.0721,21.5,1,0,0.1303,NL,EUR,none,0
TXN000101,CUST2218,2023-01-01 01:07:20,61,221,227.49,223.29,1.0188,0,5,Carrefour,0.333,705,0,0,0,17,3,tablet,PIN,0.0192,0.143,3.9,1,2,0.0643,PT,EUR,none,0
TXN000102,CUST5496,2023-01-01 01:08:00,3576,123,10.65,9.77,1.089,1,1,Carrefour,0.333,213,0,1,0,18,5,tablet,biometric,0.0896,0.0532,7.3,2,0,0.0288,FR,EUR,none,0
TXN000103,CUST5735,2023-01-01 01:08:40,2829,2878,91.02,89.05,1.022,1,4,Spotify,0.39,605,0,0,0,10,6,mobile_android,PIN,0.0944,0.1069,3.5,1,1,0.0175,GB,EUR,none,0
TXN000104,CUST5555,2023-01-01 01:09:20,2575,2218,46.08,37.73,1.221,0,4,Amazon,0.251,903,0,0,0,21,0,mobile_android,PIN,0.0729,0.0196,1.3,2,0,0.1008,US,EUR,none,0
TXN000105,CUST9050,2023-01-01 01:10:00,3383,3092,85.22,95.84,0.8891,1,11,Boulanger,0.288,87,0,0,0,16,0,mobile_android,biometric,0.1547,0.0393,0.1,1,1,0.0065,PT,EUR,none,0
TXN000106,CUST4446,2023-01-01 01:10:40,3765,1960,21.99,20.33,1.0811,0,8,Steam,0.394,3650,0,0,0,19,4,desktop_windows,3DS,0.1464,0.0432,54.0,1,2,0.0695,BE,EUR,none,0
TXN000107,CUST2045,2023-01-01 01:11:20,2248,1300,67.9,79.01,0.8593,1,1,Western Union,0.591,138,0,0,0,18,3,mobile_ios,PIN,0.0569,0.1879,23.3,1,1,0.113,PT,EUR,none,0
TXN000108,CUST7893,2023-01-01 01:12:00,6959,1824,27.4,29.59,0.9257,2,6,Leclerc,0.336,403,0,0,1,17,0,tablet,3DS,0.0155,0.2774,28.0,2,1,0.0092,IT,USD,none,0
TXN000109,CUST2693,2023-01-01 01:12:40,3425,1718,9.7,11.42,0.8486,1,4,Carrefour,0.333,436,0,0,0,8,1,tablet,3DS,0.0582,0.315,21.2,2,0,0.053,PT,EUR,none,0
TXN000110,CUST4436,2023-01-01 01:13:20,1099,1978,16.65,17.58,0.9466,0,6,Auchan,0.097,545,0,0,0,16,2,mobile_ios,PIN,0.3926,0.0888,69.6,1,0,0.0239,BE,CHF,none,0
TXN000111,CUST9754,2023-01-01 01:14:00,6080,112,49.98,50.75,0.9846,2,2,MoneyGram,0.783,137,0,0,0,13,6,desktop_mac,no_auth,0.0965,0.0023,15.4,2,0,0.1089,BE,EUR,none,0
TXN000112,CUST6895,2023-01-01 01:14:40,2804,4974,126.8,127.92,0.9912,0,3,Steam,0.394,104,0,0,0,7,5,desktop_mac,3DS,0.1502,0.1427,0.2,2,0,0.0502,CN,EUR,none,0
TXN000113,CUST4354,2023-01-01 01:15:20,5391,3207,4.14,3.45,1.1965,2,6,Spotify,0.39,403,0,0,1,15,6,mobile_android,3DS,0.1599,0.2382,2.5,1,0,0.0182,NL,EUR,none,0
TXN000114,CUST1225,2023-01-01 01:16:00,5141,2170,12.83,14.35,0.8935,3,4,SNCF,0.158,1310,0,0,0,21,5,mobile_ios,3DS,0.2159,0.2206,3.4,3,1,0.1023,ES,CHF,none,0
TXN000115,CUST5893,2023-01-01 01:16:40,3108,3337,190.29,226.68,0.8394,2,6,Decathlon,0.393,28,0,0,0,8,5,mobile_android,biometric,0.0237,0.0336,7.5,2,2,0.0521,CH,EUR,none,0
TXN000116,CUST8022,2023-01-01 01:17:20,198,4386,15.4,14.88,1.0343,1,6,SNCF,0.158,393,1,0,0,16,1,tablet,3DS,0.0616,0.1247,21.4,1,0,0.031,NL,GBP,none,0
TXN000117,CUST6600,2023-01-01 01:18:00,5273,3639,6.88,7.85,0.8753,2,7,Deliveroo,0.16,1204,0,0,0,8,1,tablet,3DS,0.2622,0.0917,8.6,2,0,0.0688,IT,EUR,none,0
TXN000118,CUST8996,2023-01-01 01:18:40,2092,4967,149.03,133.2,1.1188,2,7,Netflix,0.188,991,0,0,0,11,4,mobile_android,biometric,0.04,0.0747,0.0,2,2,0.0671,CN,EUR,none,0
TXN000119,CUST8683,2023-01-01 01:19:20,2689,628,38.5,44.15,0.8718,2,4,Steam,0.394,194,0,0,0,8,6,mobile_android,3DS,0.1816,0.172,19.1,1,1,0.0941,ES,EUR,none,0
